['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '69', '1', '1418682163.170388', '0', '0', '0']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682272.277057', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682282.493606', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '1.79203', '16691', '0', '1418682282.573432', '1', '1', '30']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12599', '1', '1418682284.318367', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682284.351908', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682294.449483', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.575925', '16948', '0', '1418682294.535286', '1', '1', '30']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12336', '1', '1418682296.194946', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682296.231878', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682306.366064', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.572019', '16947', '0', '1418682306.471129', '1', '1', '30']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13121', '1', '1418682308.191045', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682308.241062', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682318.480918', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.591999', '12853', '0', '1418682318.565622', '1', '1', '30']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13894', '1', '1418682320.306535', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682320.339833', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682330.556405', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.724138', '13616', '0', '1418682330.637484', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13625', '1', '1418682332.381548', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682332.415096', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682342.591759', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.701149', '17221', '0', '1418682342.687578', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12592', '1', '1418682344.418637', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682344.452561', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682354.548100', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.735632', '12594', '0', '1418682354.623424', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13382', '1', '1418682356.293485', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682356.329664', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682366.464571', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.712644', '14406', '0', '1418682366.554887', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13624', '1', '1418682368.289195', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682368.329130', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682378.420414', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.689655', '12355', '0', '1418682378.501360', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '16962', '1', '1418682380.285175', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682380.318984', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682390.535906', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.701149', '17220', '0', '1418682390.613354', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17719', '1', '1418682392.361044', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682392.394476', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682402.611143', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.712644', '14406', '0', '1418682402.697214', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17721', '1', '1418682404.555279', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682404.588709', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682414.725770', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.666667', '14393', '0', '1418682414.817596', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12852', '1', '1418682416.590638', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682416.624104', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682426.800997', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.724138', '13382', '0', '1418682426.876323', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17465', '1', '1418682428.547232', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682428.580924', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682438.757219', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.689655', '12355', '0', '1418682438.837412', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '14642', '1', '1418682440.582339', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682440.615841', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682450.594302', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.689655', '12354', '0', '1418682450.699126', '0', '0', '0']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13106', '1', '1418682452.419279', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682452.452711', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682462.709152', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.99923e-39', '17221', '0', '1418682462.784508', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12356', '1', '1418682464.455271', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682464.488804', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682474.665869', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.45877e-39', '13378', '0', '1418682474.755830', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17713', '1', '1418682476.490254', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682476.523608', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682486.821522', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.45877e-39', '13378', '0', '1418682486.920827', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13623', '1', '1418682488.645124', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682488.678930', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682498.895618', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '5.26946e-39', '14405', '0', '1418682498.976819', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17989', '1', '1418682500.640983', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682500.674344', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682510.811958', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '5.26946e-39', '14405', '0', '1418682510.887659', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '14135', '1', '1418682512.637945', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682512.671273', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682522.807571', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.99923e-39', '17221', '0', '1418682522.893250', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '1', '1418682524.673439', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682524.706850', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682534.843914', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.99923e-39', '17221', '0', '1418682534.942853', '1', '1', '31']
['4', '43', '14', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '14405', '1', '1418682536.668043', '1', '7', '23']
['4', '171', '10', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '13616', '0', '1418682536.701500', '1', '7', '23']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682546.918276', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.99923e-39', '17221', '0', '1418682546.996214', '1', '1', '31']
['4', '16', '90', '3.06', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13617', '1', '1418682548.663887', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682548.809273', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682550.533261', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.79656e-39', '17713', '0', '1418682550.620080', '1', '1', '31']
['4', '16', '90', '3.06', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13617', '1', '1418682552.358390', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682552.519134', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682554.147619', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '7.16106e-39', '17478', '0', '1418682554.225444', '1', '1', '31']
['4', '16', '90', '3.06', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13617', '1', '1418682556.012364', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682556.186499', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682557.921877', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '4.93167e-39', '17200', '0', '1418682558.016192', '1', '1', '31']
['4', '16', '90', '3.06', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13617', '1', '1418682559.787127', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682559.931131', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682561.496227', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0', '17477', '0', '1418682561.585500', '1', '2', '26']
['4', '16', '90', '3.06', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13617', '1', '1418682563.361093', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682563.513615', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682565.230220', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '13636', '0', '1418682565.312928', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13878', '1', '1418682567.055597', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682567.231227', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682568.888337', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '-0', '16965', '0', '1418682569.001168', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13878', '1', '1418682570.709826', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682570.862338', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682572.459299', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '0.000112153', '13124', '0', '1418682572.568886', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13878', '1', '1418682574.324557', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682574.470946', '0', '0', '0']
['4', '3', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '12869', '1', '1418682576.153301', '0', '0', '0']
['4', '3', '46', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '1.86599e+33', '13377', '0', '1418682576.232152', '1', '2', '26']
['4', '16', '90', '3.68', '117', '0.3372', '0.46', '1', '0', '2', '1', '0', '0', '?', '13878', '1', '1418682577.900907', '0', '0', '0']
['4', '16', '16', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '17718', '0', '1418682578.097426', '0', '0', '0']
